,书籍名称,频率
0,存在主义心理治疗,3
1,亲密关系,35
2,人生的智慧,43
3,苏菲的世界,34
4,杀死一只知更鸟,59
5,维特根斯坦传,3
6,当尼采哭泣,5
7,血酬定律：中国历史上的生存游戏,2
8,忏悔录,16
9,沉思录,28
10,如何阅读一本书,49
11,西方世界的经典人并担任1974年第十五版《大英百科全书,1
12,大英百科全书,2
13,棋王.樹王.孩子王,1
14,棋王,3
15,第九个寡妇,4
16,乌合之众,53
17,乌合之众:大众心理研究,1
18,少有人走的路,35
19,影响力,33
20,财富,5
21,相约星期二,13
22,明年更年轻,3
23,与身体对话,2
24,失衡,2
25,睡眠革命,4
26,正面思维，创造幸福,1
27,学习之道,8
28,象与骑象人,3
29,这样读书就够了,3
30,人类简史,71
31,非暴力沟通,52
32,活着,286
33,月亮与六便士,66
34,社会性动物,12
35,富爸爸，穷爸爸,12
36,自控力,30
37,小王子,129
38,金字塔原理,21
39,原则,31
40,娱乐至死,22
41,学会提问,17
42,乡土中国,15
43,围城,76
44,上帝掷骰子吗,7
45,三体,147
46,三体Ⅱ·黑暗森林,1
47,三体Ⅲ·死神永生,1
48,穷查理宝典,38
49,平凡的世界,202
50,明朝那些事儿,66
51,红楼梦,144
52,超越感觉：批判性思考指南,4
53,白夜行,118
54,1984,62
55,自私的基因,32
56,活出生命的意义,10
57,思考，快与慢,11
58,薛兆丰经济学讲义,1
59,沟通的艺术,4
60,做出好决定,3
61,百年孤独,126
62,把时间当做朋友,9
63,追风筝的人,90
64,哲学家们都干了些什么,3
65,万历十五年,39
66,瓦尔登湖,51
67,态度改变与社会影响,7
68,社会心理学,19
69,刻意练习,20
70,今日简史,7
71,未来简史,23
72,沟通圣经,2
73,动物庄园,10
74,道德经,53
75,被讨厌的勇气,28
76,爱的艺术,27
77,沉默的大多数,15
78,练习的心态,2
79,小公主,3
80,身份的焦虑,6
81,美的历程,17
82,经济学原理.微观分册,2
83,经济学原理微观经济学分册,1
84,习惯的力量,5
85,人类群星闪耀时,15
86,乐队的夏天,1
87,群星闪耀时,1
88,七堂极简物理课,2
89,时间简史,20
90,五十度灰,6
91,神盾局特工,1
92,原生家庭：如何修补自己的性格缺陷,3
93,原生家庭,3
94,沟通的艺术：看入人里，看出人外,13
95,语言学的邀请,6
96,人间草木,7
97,夏天,1
98,请停止无效努力,4
99,小狗钱钱,36
100,罗生门,23
101,密林中,1
102,竹林中,1
103,鼻,2
104,黄金时代,18
105,地狱变,1
106,矿车,1
107,舞会,1
108,侏儒警语,1
109,掌控习惯,5
110,三体全集,2
111,当下的力量,13
112,高效能人士的七个习惯,24
113,如何掌控自己的时间和生活,2
114,考研真题,1
115,三年高考五年模拟,1
116,麦田守望者,4
117,自卑与超越,20
118,局外人,30
119,群体的智慧,2
120,菊与刀,14
121,百万美元宝贝,1
122,百元之恋,1
123,喜剧之王,1
124,心动的信号,1
125,毛泽东选集,49
126,北京周报,1
127,中国建设,1
128,毛选,19
129,播种希望,1
130,我所认识的乌干达总统穆塞韦尼,1
131,白鹿原,33
132,霍乱时期的爱情,39
133,理想国,16
134,全球通史,16
135,艺术的故事,9
136,激荡三十年,17
137,巨人的陨落,7
138,科学革命的结构,3
139,利维坦,5
140,论中国,2
141,美学散步,5
142,梦的解析,13
143,枪炮、病菌与钢铁,9
144,史记,47
145,数学之美,5
146,谈美,9
147,现代艺术的意义,1
148,语言本能,2
149,中国古代科学思想史,1
150,资本论,26
151,走在人生边上,2
152,人类学透镜,1
153,社会学入门,1
154,论人类不平等的起源,2
155,国富论,22
156,功利主义,1
157,自私的美德,1
158,帕斯卡尔思想录,2
159,圆锥曲线论,1
160,生命之爱,1
161,心的出路,1
162,心灵简史,1
163,幸福之路,5
164,进化心理学,10
165,反本能,1
166,深度思维,3
167,中国文化的深层结构,1
168,素书,1
169,菜根谭,18
170,智慧书,6
171,人情与面子,2
172,权经,1
173,尼采的锤子,1
174,思考的力量,1
175,像心理学家一样思考,1
176,我们如何思维,1
177,有效思维,1
178,身边的逻辑学,1
179,如何成为卓越的大学教师,1
180,给教师的建议,2
181,光有爱还不够,1
182,教学设计原理,1
183,民主·经验·教育,1
184,教学设计,1
185,适合比成功更重要,1
186,快乐富有过一生,1
187,聘之有道面试读心术,2
188,金字塔原理：思考、写作和解决问题的逻辑,1
189,首先，打破一切常规,4
190,高效迭代,1
191,理解媒介,4
192,失控,6
193,权力的转移,1
194,连线,1
195,未来地图：技术、商业和我们的选择,1
196,数学它的内容、方法和意义,1
197,橘子不是唯一的水果,2
198,飞毡,3
199,一千零一夜,14
200,醉酒的植物学家,3
201,月光落在左手上,1
202,穿过大半个中国去睡你,1
203,我爱你,1
204,我与地坛,27
205,好运设计,1
206,论史铁生的后期小说,1
207,在一个冬天的夜晚里,1
208,山顶上的传说,1
209,夏天的玫瑰,1
210,车神,1
211,没有太阳的角落,1
212,足球,1
213,来到人间,1
214,我二十一岁那年,1
215,务虚笔记,3
216,命若琴弦,5
217,拆散的笔记簿,1
218,路过笛卡尔大街,2
219,理性乐观派,1
220,稀缺：我们是如何陷入贫穷与忙碌的,3
221,稀缺,4
222,爱的五种语言,11
223,出版者周刊,2
224,心灵游戏,2
225,超级时间增倍术,1
226,自律力,1
227,胭脂扣,4
228,微习惯,6
229,心理学与生活,12
230,不败的经典设计,2
231,深泽直人,2
232,设计心理学,3
233,由内向外看世界,2
234,佐藤大.没有废弃方案,2
235,佐藤可士和的超整理术,2
236,简约至上-交互设计四原则,2
237,中国传统工艺,1
238,成事,13
239,十八岁给我一个姑娘,1
240,万物生长,3
241,北京，北京,1
242,曾文正公嘉言钞,3
243,FBI教你破解身体语言,2
244,情绪急救,2
245,巨人的工具,1
246,细节,2
247,世界观,3
248,我们如何走到今天,2
249,斯通纳,2
250,画家与黑客,1
251,终身成长,14
252,基督山伯爵,36
253,三个火枪手,1
254,牛虻,5
255,简·爱,2
256,呼啸山庄,8
257,傲慢与偏见,30
258,悲惨世界,22
259,教父,14
260,包法利夫人,3
261,自控力科学,1
262,拖延心理学,7
263,搞定,1
264,重塑心灵,6
265,我遇见了人类,2
266,嫌疑人X的献身,11
267,嫌疑人,1
268,纯真博物馆,1
269,无声告白,24
270,跟着贝尔去冒险,1
271,失明症漫记,3
272,安徒生童话,6
273,工作前5年，决定你一生的财富,2
274,穷爸爸富爸爸,9
275,如何高效学习,3
276,文明,7
277,无穷的开始：改变世界的解释,1
278,透过钱眼看中国历史,1
279,智能机器的未来：人机协作对人类的工作、生活以及知识技能的影响,1
280,零秒思考：像麦肯锡精英一样思考,1
281,零秒思考,2
282,窗边的小豆豆,13
283,夹边沟纪事,2
284,深度工作,6
285,为什么精英都是时间控,4
286,在路上,24
287,达摩流浪者,4
288,哈利波特,14
289,活好,3
290,财富自由之路,14
291,韭菜的自我修养,2
292,三十六计,5
293,乐府诗集·鸡鸣,1
294,至大论,2
295,浮生取义,2
296,大数据,2
297,罪与罚,9
298,大问题：简明哲学导论,1
299,月,1
300,罪,2
301,帕,3
302,查拉图斯特拉如是说,7
303,传习录,9
304,理,1
305,查,1
306,大,1
307,陈寅恪的最后二十年,3
308,中国大历史,4
309,柳如是别传,2
310,论半生缘,1
311,自下而上,1
312,刺杀骑士团长,7
313,周恩来最后600天,2
314,非平面,11
315,印刷,1
316,纽约观察报,1
317,独立报,1
318,福布斯,2
319,精选,1
320,平面国,3
321,拖拉一点也无妨,2
322,内向者沟通圣经,1
323,自我关怀的力量,2
324,穿越抑郁的正念之道,1
325,改变心理学的 40 项研究,1
326,50 位最伟大的心理学思想家,1
327,生命的运作方式,6
328,F IN EXAMS,1
329,房思琪的初恋乐园,23
330,熔炉,2
331,傅雷家书,10
332,总结,4
333,人性的枷锁,4
334,风筝,2
335,道德箴言录,2
336,千年智慧书,3
337,穷理查年鉴,2
338,邦查女孩,3
339,妖满城,2
340,情商,2
341,叫魂——1768年中国妖术大恐慌,1
342,灿烂千阳,17
343,星洲日报,1
344,重返美丽新世界,4
345,笑傲江湖,4
346,鹿鼎记,3
347,黑天鹅,8
348,设计准则,1
349,住宅设计解剖书,1
350,这样装修不后悔,2
351,照明设计终极圣经,1
352,收纳全书,1
353,怦然心动的人生整理魔法,7
354,小家，越住越大,1
355,家事的抚慰,1
356,家的模样,2
357,BEAMS AT HOME,1
358,好好住家居指南：从零开始的装修攻略,1
359,刻意练习：如何从新手到大师,1
360,深度工作：如何有效使用每一点脑力,1
361,海蒂性学报告,3
362,海蒂性学报告.女人篇,1
363,男人篇,1
364,女人篇,1
365,遇见未知的自己,10
366,一个叫欧维的男人决定去死,9
367,从达尔文到芒格,4
368,认知天性,3
369,富爸爸财务自由之路,2
370,可爱的诅咒,2
371,对伪心理学说不,3
372,超越感觉,2
373,批判性思维,5
374,从负数开始出发,1
375,牛奶可乐经济学,8
376,教出乐观的孩子,1
377,我是猫,22
378,子规,1
379,哥儿,1
380,五味——汪曾祺谈吃散文38篇,1
381,端午的鸭蛋,1
382,一只特立独行的猪,8
383,俗世奇人,6
384,刷子李,2
385,泥人张,2
386,看见,42
387,浮生六记,28
388,十二幅地图中的世界史,1
389,今日历史,1
390,边城,15
391,五百年来谁著史:1500年以来的中国与世界,1
392,人民日报,1
393,华尔街日报,2
394,道德情操论,7
395,微纪元,1
396,华衫讲透孙子兵法,1
397,超级符号就是超级创意,1
398,如何快速阅读一本书,1
399,左传,10
400,左氏春秋,2
401,春秋左氏传,2
402,春秋左氏,1
403,春秋内传,1
404,词源,1
405,水浒传,10
406,生命的重建,5
407,认识自己，接纳自己,3
408,我的情绪为何总被他人左右,2
409,为了N,1
410,胚胎奇谭,3
411,青金石幻想,1
412,山月记,5
413,弟子,1
414,李陵,1
415,光•风•梦,1
416,奇迹男孩,3
417,步履不停,5
418,罗马人的故事,3
419,论不服从,3
420,异类的天赋,2
421,天才在左，疯子在右,17
422,纽约时报,14
423,你不懂葡萄酒,1
424,幸福课——不完美的人生解答书,1
425,敏感内向者的幸福课,1
426,奇葩说,1
427,给青年人的信,1
428,别独自用餐/Never Eat Alone,1
429,别独自用餐,1
430,意志力科学,1
431,艽野尘梦,10
432,诗·小雅·小明,1
433,西藏生死线,1
434,西藏惊情,1
435,上帝掷骰子吗？：量子物理史话,1
436,少有人走的路：心智成熟的旅程,4
437,新周刊,1
438,书城,1
439,天龙八部,5
440,西方世界的经典,1
441,看懂财经新闻的第一本书,1
442,精进,7
443,时代,1
444,暗时间,1
445,黑客与画家,3
446,追寻生命的意义,3
447,深夜加油站遇见苏格拉底,2
448,苏东坡传,5
449,次第花开,4
450,我的精神家园,5
451,干法,3
452,活法,10
453,中国哲学简史,6
454,昨日的世界,2
455,少年维特之烦恼,1
456,在细雨中的呐喊,1
457,八十年代访谈录,2
458,岁月与性情,1
459,妞妞,1
460,皮囊,18
461,禅者的初心,2
462,培根论人生,2
463,禅与摩托车维修的艺术,1
464,品人录,4
465,品三国,2
466,读城记,1
467,中国的男人和女人,1
468,闲话中国人,1
469,大话方言,1
470,第三帝国的兴亡,1
471,奥德赛,3
472,荷马史诗,1
473,西方哲学史,4
474,天朝的崩溃,1
475,中国农民调查,1
476,细雨中的呐喊,1
477,邓小平时代,4
478,南渡北归,10
479,中国现代小说史,3
480,文学回忆录,6
481,德国通史,1
482,中国近代史,3
483,中国通史,7
484,第五项修炼,1
485,管理的实践,3
486,旁观者,2
487,大道至简-讲给EMBA的经济学,1
488,顾客为什么购买,2
489,精益创业,4
490,创新与企业家精神,3
491,德鲁克全集,1
492,德鲁克和我,1
493,失落的管理艺术,1
494,从0到1,1
495,发现商业模式,1
496,从优秀到卓越,2
497,新教伦理与资本主义精神,2
498,落脚城市,1
499,文字小讲,1
500,说文解字,3
501,技术的本质,1
502,晚学盲言,2
503,知道分子,1
504,生育制度,2
505,胡适传论,1
506,张居正大传,2
507,曾国藩,4
508,王阳明大传,2
509,蒋经国传,2
510,乔布斯传,3
511,毛泽东传,3
512,拿破仑传,4
513,民国政治人物,1
514,李鸿章传,4
515,蒋介石与现代中国,1
516,王安石传,1
517,武则天传,4
518,刘邦别传,1
519,民国三大校长,1
520,胡适杂忆,1
521,富兰克林自传,5
522,独立宣言,2
523,柳叶刀,1
524,自我驱动心理学,5
525,原生家庭生存指南,2
526,原生家庭生存指南——如何摆脱非正常家庭环境的影响,1
527,泰晤士报,1
528,天生非此：家是如何影响我们一生的,1
529,青少年的暴力倾向：在这个只有赢家和输家的现代文化背景下,1
530,原生家庭生存指南：如何摆脱非正常家庭环境的影响,1
531,卫报,1
532,金融时报,1
533,康熙来了,1
